,ID,body,header
0,71333,"p_tamars

2006-01-11Liraz



הכנסת השש-עשרה נוסח לא מתוקן

 מושב שני

פרוטוקול מס' 74

מישיבת ועדת הכנסת

יום שני, י""ג בכסלו תשס""ד, 8.12.2003, שעה 10:00",
1,71333,"א. קביעת מסגרת דיון להצעות להביע אי-אמון בממשלה.

ב. בקשת היועץ המשפטי לממשלה לנטילת חסינותם של חברי הכנסת מיכאל גורולובסקי ויחיאל

 חזן.

ג. בקשות חברי הכנסת להקדמת הדיון בהצעות חוק הבאות - בקריאה טרומית:

 1. הצעת חוק גדר הביטחון, התשס""ד-2003, של חבר הכנסת מתן וילנאי (פ/1611).

 2. הצעת חוק גדר הביטחון, התשס""ד-2003, של חבר הכנסת דני יתום וקבוצת חברי הכנסת

 (פ/1631).

 3. הצעת חוק שידורי פרסומות, תשדירי שירות ושידורי חסות בגלי צה""ל, התשס""ד-2003, של

 חבר הכנסת אורי אריאל (פ/1632).

נכחו: (בנושא בקשת היועץ המשפטי לממשלה לנטילת חסינותם של חברי הכנסת מיכאל

 גורולובסקי ויחיאל חזן)

 חברי הוועדה: רוני בר-און - היו""ר

 יולי-יואל אדלשטיין

 דליה איציק

 מיכאל איתן

 דניאל בנלולו

 ענבל גבריאלי

 מיכאל גורולובסקי

 זהבה גלאוו

רשף חן

 אחמד טיבי

 דני יתום

 יצחק כהן

 גדעון סער

 חבר הכנסת אהוד יתום - מחליף את חבר הכנסת עמרי שרון

 חבר הכנסת דוד טל - מחליף את חבר הכנסת עמיר פרץ

 חבר הכנסת אליעזר כהן - מחליף את חבר הכנסת יורי שטרן

 מוזמנים: חברת הכנסת רוחמה אברהם

 חבר הכנסת אלי אפללו

 חבר הכנסת מתן וילנאי

 חבר הכנסת אופיר פינס-פז

 רז נזרי - עוזר ליועץ המשפטי לממשלה

 אשר חן - בא כוח חבר הכנסת יחיאל חזן

 אריאלה קלעי - משרד המשפטים

נכחו: (בנושא הקדמת הדיון בהצעות חוק)

 חברי הוועדה: רוני בר-און - היו""ר

 יולי אדלשטיין

 דליה איציק

 דניאל בנלולו

 ענבל גבריאלי

 רשף חן

 אחמד טיבי

 דני יתום

 גדעון סער

 עמרי שרון

 אבשלום וילן - מחליף את חברת הכנסת זהבה גלאון

 אליעזר כהן - מחליף את חבר הכנסת יורי שטרן

 גילה פינקלשטיין-מחליפה את חבר הכנסת שאול יהלום

 מוזמנים: חבר הכנסת אורי אריאל

 חבר הכנסת מתן וילנאי

 ניר רייס - משרד האוצר

 אריאלה קלעי - משרד המשפטים

מזכיר הכנסת: אריה האן

סגן מזכיר הכנסת: דוד לב

סגנית מזכיר הכנסת: רות קפלן

היועצת המשפטית: אנה שניידר

יועצת משפטית: ארבל אסטרחן

מנהלת הוועדה: אתי בן-יוסף

קצרנית: טלי רם

 א. קביעת מסגרת דיון להצעות להביע אי-אמון בממשלה",סדר היום
2,71333,"בוקר טוב. אני מתכבד לפתוח את ישיבה מס' 74 של ועדת הכנסת. מעבר לסדר היום כפי שפורסם, הוגשו כאן היום בקשות להביע אי-אמון בממשלה מטעם סיעות העבודה-מימ""ד, ש""ס, מרצ-חד""ש-תע""ל-בל""ד-רע""ם, בעניינים הבאים: א. מדיניותה החברתית, הכלכלית והמדינית- של העבודה-מימ""ד; ב. מצב שירותי הרווחה ברשויות המקומיות - של ש""ס; ג. המחסור בבניית כיתות לימוד במערכת החינוך בכלל ובמגזר הערבי בפרט וההשלכות מביטול הקבלה לאוניברסיטאות על סמך ציוני הבגרות - של מרצ-חד""ש-תע""ל-בל""ד-רע""ם.

 ההצעות יידונו בישיבת הכנסת ביום שני, י""ג כסליו התשס""ד, 8 בדצמבר 2003, וועדת הכנסת מתבקשת לקבוע מסגרת דיון לנושא זה.

 על-פי מצוות הפרוטוקול, זהו העניין הראשון שבו אנחנו צריכים לדון מעבר לכל נושא שנקבע בסדר היום.

 האם יש איזושהי הסכמה דיונית בין הקואליציה לבין האופוזיציה? גם לא יושבת-ראש סיעת העבודה וגם לא יושב-ראש הקואליציה נמצאים.

 הצעות בבקשה.","היו""ר רוני בר-און"
3,71333,"אני מציעה ללכת על ההסדר הקבוע לדיון משולב, כמו שנהגנו לעשות עד כה.",זהבה גלאון
4,71333,"מה שנהגנו לעשות עד כה - המציעים, אחר-כך 20 דקות לליכוד, 10 דקות לעבודה, 8 דקות לשינוי, ולכל יתר הסיעות 5 דקות לכל סיעה.","היו""ר רוני בר-און"
5,71333,הצעה אחרת?,"היו""ר רוני בר-און"
6,71333,"25 דקות ל""עם אחד"".",דוד טל
7,71333,"מי בעד ההצעה הראשונה?

ה צ ב ע ה

בעד - רוב

נגד - אין

נמנעים - אין

ההצעה למסגרת דיון משולב בהצעות להביע אי-אמון בממשלה, נתקבלה.","היו""ר רוני בר-און"
8,71333,"מי בעד ההצעה של 25 דקות לסיעת ""עם אחד""?","היו""ר רוני בר-און"
9,71333,"לא, אל תצביע.",דוד טל
10,71333,"תודה רבה, חבר הכנסת טל מושך את הצעתו.","היו""ר רוני בר-און"
11,71333,למה הפסקת את ההליך? היית מקבל פה רוב.,דני יתום
12,71333,"תודה רבה, חברים. יש לנו סדר יום עמוס, ואי-אפשר יהיה בנסיבות העניין לקיים אותו אם תהיינה הפרעות.

 אני קובע אפוא שמסגרת הדיון תהיה דיון משולב בכל הצעות אי האמון, כאשר לאחר המציעים סיעת הליכוד תקבל 20 דקות, סיעת העבודה - 10 דקות, סיעת שינוי - 8 דקות, וכל יתר סיעות הבית - 5 דקות.

ב. בקשת היועץ המשפטי לממשלה לנטילת חסינותם של חברי הכנסת מיכאל גורולובסקי

ויחיאל חזן","היו""ר רוני בר-און"
13,71333,"הנושא הבא על סדר היום הוא בקשת היועץ המשפטי לממשלה לנטילת חסינותם של חברי הכנסת מיכאל גורולובסקי ויחיאל חזן. חבר הכנסת יחיאל חזן פה, האם עורך הדין שלך נמצא פה?","היו""ר רוני בר-און"
14,71333,"כן, עורך-דין אשר חן.",יחיאל חזן
15,71333,"את היועץ המשפטי לממשלה מייצג עורך-דין רז נזרי. אני מבקש לזמן בדחיפות את חבר הכנסת גורולובסקי. זה לא ייתכן, אני הודעתי לו שהוא צריך להיות פה. נא להודיע לו שאנחנו ממתינים לו ואנחנו לא יכולים להתחיל את הדיון.

 אנחנו נטפל בינתיים בכמה דברים אחרים, עד שחבר הכנסת גורולובסקי יגיע הנה.

 אני רוצה להזכיר לראשי הסיעות, שבדיון על הסרת החסינות אי-אפשר להחליף חברים לקראת ההצבעה. חברים שיתחילו בדיון הם החברים שלהם תהיה זכות ההצבעה.","היו""ר רוני בר-און"
16,71333,אני מבקש שאצלי זה ייקבע רק - - -,דוד טל
17,71333,שנייה אחת. אנחנו לא פותחים דיון בעניין הזה.,"היו""ר רוני בר-און"
18,71333,"אני מבקש להודיע משהו לפרוטוקול, אדוני היושב-ראש.",גדעון סער
19,71333,אני מזכיר את זה כדי שתנצלו גם את 10 הדקות - או כמה דקות שיהיו פה להמתין לחבר הכנסת גורולובסקי - כדי להסדיר את העניין הזה.,"היו""ר רוני בר-און"
20,71333,"אדוני היושב-ראש, אני מבקש תחילה להודיע כי במהלך הדיון בבקשות להסרת חסינות שמונחות כרגע בפני הוועדה, ישתתף חבר הכנסת אהוד יתום במקום חבר הכנסת עמרי שרון. חבר הכנסת יתום הוא ממלא-מקום קבוע שלנו ובאופן טבעי - ברגע שחבר הכנסת שרון, על יסוד ההליכים שמתנהלים נגדו, החליט לא להשתתף לעת הזאת בבקשות מהסוג הזה - הוא יחליף אותו.",גדעון סער
21,71333,מאה אחוז.,"היו""ר רוני בר-און"
22,71333,"יחד עם זאת, מוטלת עלינו החובה גם למלא מקום נוסף, והוא מקומו של חבר הכנסת גורולובסקי - מטעמים מובנים.",גדעון סער
23,71333,לפחות בבקשה הנוגעת לו הוא עצמו.,"היו""ר רוני בר-און"
24,71333,"נכון, ואני מבקש בעניין הזה - אינני יודע ואני שואל פה את היועצת המשפטית - אם לעניין זה נדרשת דחיית תחילת הדיון על מנת שאביא זאת היום לישיבת הסיעה וייקבע, כי זה איננו דבר שאני רוצה לעשות על דעת עצמי, ואם אפשר להתחיל ואחר-כך יצטרף חבר נוסף בישיבה השנייה - מה טוב.",גדעון סער
25,71333,"אני אענה לך - אפשר.

 הדיון היום - כפי שהודעתי מלכתחילה גם לחברי הכנסת שעניינם נדון כאן, גם לעורכי-הדין שלהם, גם ליועץ המשפטי לממשלה וגם לחברים מהוועדה ששאלו אותי - הוא דיון פורמלי כדי לעמוד במצוות החוק שקובעת, שמיד עם הגשת הבקשה, בישיבה הראשונה של הוועדה ייפתח הדיון. אחר-כך אני אפרט גם את יתר הדברים שדורשים את חובתם, או מה החובה הנדרשת מחברי כנסת שמשתתפים בישיבה הזאת.

 תודה שהגעת, חבר הכנסת גורולובסקי, בבקשה תצטרף אלינו.","היו""ר רוני בר-און"
26,71333,"אנה, אולי תציגי מה המצב.",גדעון סער
27,71333,אני אגיד את זה.,"היו""ר רוני בר-און"
28,71333,"אבל אדוני היושב-ראש, יושבת פה יועצת משפטית - להשכלתי המשפטית.",גדעון סער
29,71333,"סליחה. תודה רבה לך, אני מנהל את הישיבה, אני אענה לך. אם לא תקבל תשובות ממני, תפנה - ותפנה דרכי בבקשה ליועצת המשפטית. אני מנהל פה את הישיבה.

 חבר הכנסת גורולובסקי, אני מבקש שתצטרף אלינו בבקשה.","היו""ר רוני בר-און"
30,71333,למה הוא חייב? הוא לא יכול לשבת כאן?,דליה איציק
31,71333,אני לא יכול לשבת ליד דליה?,מיכאל גורולובסקי
32,71333,"סליחה, אני מבקש שיצטרף אלינו.","היו""ר רוני בר-און"
33,71333,"הוא מאוד רוצה לשבת על-ידי, אז מה יש.",דליה איציק
34,71333,"תצטרפי את אלינו.

 אנחנו עוברים לדיון בבקשת היועץ המשפטי לממשלה.","היו""ר רוני בר-און"
35,71333,"אדוני, סליחה. אני רוצה לבקש מהיושב-ראש שלגבי סיעת ""עם אחד"", ההערה שהערת בתחילת הדיון, שמי שיישב בדיון היום - יצטרך לסיים את הדיון, אני מבקש שהיום יתאפשר לנו לקבל החלטה, אחרת אני אצטרך לצאת.",דוד טל
36,71333,"מאה אחוז. כפי שאני עושה לגבי סיעת הליכוד, אני אעשה גם לגבי סיעת ""עם אחד"". ההשתתפות בדיון הפורמלי - אין בה מבחינת חיוב. לפני הדיון הראשון שיהיה לגופו של עניין, תוכל סיעת ""עם אחד"" להודיע אם החבר הקבוע - חבר הכנסת עמיר פרץ - משתתף בדיון, או חבר אחר מהסיעה מחליף אותו. מקובל עליך?","היו""ר רוני בר-און"
37,71333,מאה אחוז.,דוד טל
38,71333,אנחנו עוברים אפוא לדיון.,"היו""ר רוני בר-און"
39,71333,"אדוני, הערה לסדר היום, או שאלה. אני רואה שהיועץ המשפטי איננו כאן.",דליה איציק
40,71333,"נכון, אני שחררתי אותו מחובת הופעה.","היו""ר רוני בר-און"
41,71333,למה?,דליה איציק
42,71333,"משום שהדיון היום הוא דיון פורמלי, אני אסביר מה יהיו הליכי הדיון. הוא פנה אלי, אני שחררתי אותו מחובת הופעה. אנחנו היום נקבע את התאריכים שבהם היועץ המשפטי לממשלה יופיע, ירצה את טענותיו, ישמע את הטענות של הצד השני, יישאל שאלות, יענה תשובות, על-ידי חברי הכנסת, ככל שיידרש.

 לגופם של דברים, מבחינת המהות, היועץ המשפטי או נציגו - הוא כמובן יכול להופיע באמצעות נציגו - אני מניח שהוא יופיע.","היו""ר רוני בר-און"
43,71333,הוא יופיע.,רז נזרי
44,71333,אז מה יהיה טיבו של הדיון היום?,דליה איציק
45,71333,"אמרתי - דיון פורמלי. נכנסת באיחור, הודעתי את זה.","היו""ר רוני בר-און"
46,71333,אני לא הבנתי מה זה דיון פורמלי.,דליה איציק
47,71333,"מצוות התקנון היא לפתוח בדיון מייד בישיבה הראשונה הקבועה לוועדת הכנסת, לאחר שהיועץ המשפטי לממשלה מבקש את הבקשה הזאת. במצווה זו אנחנו עומדים היום - הבקשה הגיעה ביום רביעי אחר הצהרים, וככזו - זו הישיבה הראשונה. לכן אנחנו פותחים את הדיון, אבל אמרתי: גם מבחינת נוחיותם, בעיקר מבחינת נוחיותם של חברי הכנסת, ועוד יותר - של הסניגורים שלהם - אי-אפשר היה לקיים את הדיון היום. לכן, כפי שאתם תשמעו בהמשך, הוצעו תאריכים שמקובלים על עורך הדין של חבר הכנסת חזן, תאריכים שמקובלים על עורך הדין של חבר הכנסת גורולובסקי, תאריכים שמקובלים על היועץ המשפטי לממשלה, ואנחנו נקבע את התאריכים האלה מייד כשהדיון הפורמלי הזה יגיע לקצו.","היו""ר רוני בר-און"
48,71333,"שאלה, אדוני היושב-ראש. אני מבקש לדעת האם יש איזושהי מגבלת זמן, או שזה תהליך שעלול או עשוי להימשך עד בלי גבול.",דני יתום
49,71333,"לכאורה, אין מגבלת זמן. אני יכול לומר לך, מהניסיון הקודם שהיה פה לוועדה הזאת בכנסת הזאת - בבקשה שעניינה היה חברת הכנסת בלומנטל - פתחנו את זה מייד. אז היה צורך יותר ממושך לתת לצדדים, להגנה, לעיין בראיות משום שלא היה שימוע. פה, חומר הראיות כבר הועמד לצדדים, התקיים שימוע. זו נגזרת מכמה זמן הדיון מתמשך. אין מגבלת זמן.","היו""ר רוני בר-און"
50,71333,"אדוני היושב-ראש, האם היועץ המשפטי מסיים את תפקידו בסוף ינואר, או בסוף דצמבר?",דליה איציק
51,71333,בסוף דצמבר.,"היו""ר רוני בר-און"
52,71333,על אחת כמה וכמה הוא היה צריך להיות כאן.,דליה איציק
53,71333,על אחת איזה כמה ועל איזה כמה? מה כמה הראשון ומה כמה השני?,"היו""ר רוני בר-און"
54,71333,"אני אסביר לך. קודם כל, אני לא זוכרת פרוצדורה כזאת. בכלל, אני חושבת שהמעמד מחייב - אומנם זה הפך להיות מאוד לעתים קרובות שמסירים חסינות - אבל זה נראה היה לי נכון, בכל זאת זה אירוע קשה ויום קשה גם לחברי הכנסת היושבים פה.

 אני חושבת שהיה נכון שהיועץ המשפטי לממשלה יתחיל היום את הדיון - לא שלוחיו ולא מישהו אחר - ואילוצי הזמן בוודאי מחייבים היו את נוכחותו היום.",דליה איציק
